Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00053153,2.5633E-05,0.061156,0,0,0,1.9988,0.0022029,2.233E-07,7.9536E-08,0.0036603,-3.915E-07,0.003063,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/base_link.STL,,base-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_hip_pitch_link,-0.00206362326865859,0.0236890185969602,0.000434222635319004,0,0,0,0.121324254407855,4.77208740995924E-05,1.06226787580465E-08,-5.87784370355538E-09,3.24920571807845E-05,2.25300301068869E-07,3.23457198136064E-05,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_hip_pitch_link.STL,,l_hip_pitch-1,l_hip_pitch_link,A_l_hip_pitch_link,l_hip_pitch_joint,revolute,0,0.0475,-0.04379,0,0,0,base_link,0,1,0,20,5.45,-3.12,2.94,,,,,,,,
l_hip_roll_link,0.00129127496915332,0.000202934988447867,-0.0499875444870744,0,0,0,0.269548936510362,9.08505456840013E-05,5.6748665208892E-07,-1.25691278055886E-06,8.63512947933284E-05,1.33469316495913E-07,0.000105122046577672,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_hip_roll_link.STL,,l_hip_roll-1,l_hip_roll_link,A_l_hip_roll_link,l_hip_roll_joint,revolute,0,0.034,0.00028984,0,0,0,l_hip_pitch_link,1,0,0,20,5.45,-0.31,3.14,,,,,,,,
l_thigh_link,1.95484464390622E-10,-0.000954957817409924,-0.0239846707645672,0,0,0,0.109379663016038,3.00678613547664E-05,1.15592763731198E-13,1.74098683383101E-13,3.36780485522922E-05,1.73421868472849E-08,2.41051439705195E-05,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_thigh_link.STL,,l_thigh-1,l_thigh_link,A_l_thigh_link,l_thigh_joint,revolute,-0.00025,0,-0.0974,0,0,0,l_hip_roll_link,0,0,1,20,5.45,-2.87,2.87,,,,,,,,
l_calf_link,-4.55468218532611E-05,-0.00258961407981866,-0.0701861767000868,0,0,0,0.240143458314094,7.29058400993583E-05,-2.70308250653446E-10,-4.47751781148698E-07,0.000103134122186006,-1.20238800544341E-08,5.97949539094658E-05,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_calf_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_calf_link.STL,,l_calf-1,l_calf_link,A_l_calf_link,l_calf_joint,revolute,0,0,-0.0453,0,0,0,l_thigh_link,0,1,0,20,5.45,-2.49,2.49,,,,,,,,
l_ankle_pitch_link,0.00655369305297344,-0.00218608928572843,1.4463042842916E-05,0,0,0,0.165582705300631,3.14783182363453E-05,5.09508334248101E-17,-1.17591542638596E-08,6.76294812431336E-05,-1.51897138017562E-14,6.62299679467477E-05,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_ankle_pitch_link.STL,,l_ankle_pitch-1,l_ankle_pitch_link,A_l_ankle_pitch_link,l_ankle_pitch_joint,revolute,0,0,-0.14,0,0,0,l_calf_link,0,1,0,20,5.45,-0.97,0.92,,,,,,,,
l_ankle_roll_link,-0.0125124343118799,4.41115929098596E-05,-0.0231577029788603,0,0,0,0.344310053728036,0.000250387988165766,-4.76163273006233E-08,8.18789547516317E-05,0.000633299016728625,-2.48733014171432E-07,0.000616394549316835,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/l_ankle_roll_link.STL,,l_ankle_roll-1,l_ankle_roll_link,A_l_ankle_roll_link,l_ankle_roll_joint,revolute,0.051,0,0,0,0,0,l_ankle_pitch_link,1,0,0,20,5.45,-0.78,0.78,,,,,,,,
r_hip_pitch_link,-0.00205983587356905,-0.0239175163061346,0.000434224192407906,0,0,0,0.121324254407854,4.77208740995921E-05,-1.67153209800119E-09,-5.8765678906785E-09,3.24920571807844E-05,2.2530026435938E-07,3.23457198136063E-05,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/r_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/r_hip_pitch_link.STL,,r_hip_pitch-1,r_hip_pitch_link,A_r_hip_pitch_link,r_hip_pitch_joint,revolute,0,-0.0475,-0.04379,0,0,0,base_link,0,1,0,20,5.45,-3.12,2.94,,,,,,,,
r_hip_roll_link,0.00129127489633051,5.48514901999586E-05,-0.0499875444870742,0,0,0,0.269548936510362,9.0850545684E-05,5.67486652087685E-07,-1.25691276947817E-06,8.63512947933296E-05,1.34377726045447E-07,0.000105122046577672,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/r_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/r_hip_roll_link.STL,,r_hip_roll-1,r_hip_roll_link,A_r_hip_roll_link,r_hip_roll_joint,revolute,0,-0.034,0.00028984,0,0,0,r_hip_pitch_link,1,0,0,20,5.45,-3.14,0.31,,,,,,,,
r_thigh_link,-2.09499412338453E-10,0.00088006792494931,-0.0236846707963372,0,0,0,0.109379662865253,3.00678612727258E-05,7.82668675722198E-14,-1.77927708355486E-13,3.36780485345547E-05,-1.73421952064934E-08,2.41051438721025E-05,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/r_thigh_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://pi_plus_24dof_250826/meshes/r_thigh_link.STL,,r_thigh-1,r_thigh_link,A_r_thigh_link,r_thigh_joint,revolute,-0.00025,0,-0.0977,0,0,0,r_hip_roll_link,0,0,1,20,5.45,-2.87,2.87,,,,,,,,
