frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0,1.0638040162144167,0.9822677231942576,0.38191419619187367,0.047939713861745475,0.04012269216740644,-0.7372133423499706,0.6727618012857737,-0.22753198253101362,0.03491024441503431,0.1373301482339202,0.10997968132206176,0.057668680034296656,0.0,-0.22544699341682756,-0.06058182509923855,-0.2058672138263978,0.1399884942074878,-0.01114132597853496,0.0,-0.3156428451747164,1.613119055728898,0.03476890549227471,-0.3535847908828054,-0.6894319712852587,-0.27635300969539245,-1.6701447276006374,-0.1130681956220512,-0.3547897585560747,0.23643146709679183
1,1.0630715792578036,0.9763387050309426,0.38192485114457897,0.0464704714039643,0.039343577461059896,-0.7383235121349327,0.6716926154341708,-0.22373167390361362,0.036973469755381565,0.13843449753951734,0.15673418525311675,0.009948084070580024,0.0,-0.22963524250353995,-0.060811497724620606,-0.20086393570317515,0.19907915916128585,-0.06350204136915208,0.0,-0.2899607603684564,1.6002031898289222,0.12852883659749595,-0.34868363834996496,-0.8025834385627402,-0.29490738840965297,-1.649840019083643,-0.13116602215735051,-0.3685723711533716,0.3094401117282591
2,1.0630023242110447,0.976154738472455,0.3819098025813073,0.04679930291552217,0.0396020201629833,-0.7378692662520565,0.6721535919462783,-0.22531583342479558,0.036909311907529184,0.13722045400664062,0.15869975791889643,0.009131532923694959,0.0,-0.23058680079025284,-0.061064374150396596,-0.20210577673891458,0.20143458518757063,-0.065453382120508,0.0,-0.28854038710672947,1.6010975131660181,0.13633133935932126,-0.3503974787891168,-0.8050709070985024,-0.29603798092118344,-1.6489201222909093,-0.13303280911453066,-0.3687319564047745,0.3138530575122116
3,1.062927992101841,0.9759276203882913,0.38192506871583337,0.04697530048276608,0.039730698984142845,-0.7374642810659611,0.6725780451773987,-0.2253135434115232,0.03673475433166448,0.13616230605655866,0.1587408377814078,0.009058990085174447,0.0,-0.22983409203426403,-0.061018618314592404,-0.20330899528572002,0.2014697374922386,-0.06637408908252988,0.0,-0.28896255870551574,1.6018156721272532,0.13740545155597625,-0.35106702901012793,-0.8060037309153482,-0.2971553356420274,-1.6481866074177123,-0.1329832204210667,-0.3687454406086913,0.3158946815189958
4,1.0628520129166217,0.9756989002182617,0.381943412380554,0.047152834982644075,0.03984601330777236,-0.7370904311647615,0.6729684997545748,-0.22513160814510114,0.03654116578088141,0.13520620417459167,0.15853873954868722,0.009084987390753321,0.0,-0.2290444241143093,-0.06096623280911667,-0.20442655070120744,0.20141878203784785,-0.0672150682190697,0.0,-0.28933028278646156,1.6022694644241025,0.13766392148514722,-0.3513298470598152,-0.8060624806937389,-0.29759755681550576,-1.6477249932907243,-0.13274275404106756,-0.36866638782943495,0.3170101460866205
5,1.0627766664880196,0.9754771412874178,0.38196104434696476,0.04732484082279843,0.03995460862841011,-0.7367634825976848,0.6733079231681293,-0.22490358378783443,0.036371131240765374,0.1343882022086756,0.15833271821847503,0.009103366804057572,0.0,-0.22841370973585745,-0.06091698997413463,-0.20540194987567714,0.2015905064411303,-0.06809043734473885,0.0,-0.2894670718838775,1.6023285542969432,0.13751823667368476,-0.3510664257781505,-0.8036946168359538,-0.2973643940646521,-1.6475802109236914,-0.13256730073879952,-0.36865940810165576,0.3175508612330693
6,1.062702102320389,0.9752639487124227,0.3819770207677391,0.04749589054666139,0.040042418742774415,-0.7364946473418045,0.6735847233416745,-0.22464555137956366,0.036203512505311536,0.13374628693512783,0.15819122783672993,0.009072611395642312,0.0,-0.22796303829250225,-0.06090242426248116,-0.20618799846301938,0.2020149825875719,-0.06900149203828747,0.0,-0.2894240293257993,1.6020988284299313,0.13700255618803345,-0.3503458778718834,-0.7987335749538741,-0.29650598479807333,-1.6477446817803492,-0.1325780596158246,-0.36884011993920457,0.31775355595735116
7,1.0626293512377027,0.97505576690841,0.38199023371239443,0.047650913915218654,0.040103742864845054,-0.7362937199131679,0.6737897581795862,-0.22432436912039858,0.03605093866741332,0.13329686744197372,0.15814630691308415,0.008953825197670573,0.0,-0.22762426472270061,-0.060891519121140644,-0.20675748617954426,0.20262853597999447,-0.06992834720101923,0.0,-0.2893094810621724,1.6021506686581488,0.13638864415315977,-0.34960154998706006,-0.795958605459958,-0.2951537551536305,-1.6483309989884316,-0.13299155715576622,-0.3694241633815069,0.31712484092660903
8,1.0625593199368566,0.9748545666251359,0.382001795908082,0.04778206676338207,0.040131118348007463,-0.7361759870712716,0.6739074739870433,-0.22390923706617438,0.03591944458979277,0.1330853422067771,0.1582011025682557,0.008731814828804106,0.0,-0.22739266492086033,-0.06089909055849124,-0.20707259325593122,0.20342794207914391,-0.07085717600024283,0.0,-0.2891761656240884,1.6023126181357006,0.1358317518043546,-0.348838314218337,-0.7950871371959638,-0.2937746498419792,-1.6491274774498237,-0.13374268472577655,-0.3706327553557915,0.31608350241980937
9,1.0624925827705956,0.9746637282240532,0.3820104904750744,0.04787280551234484,0.04010722289110673,-0.7361242400485839,0.6739589812275196,-0.22342793393031252,0.035802114563402584,0.13305833854773186,0.15841974623397115,0.008392470974395293,0.0,-0.22728949261004588,-0.06093803208940349,-0.20719291532012393,0.20458940946908571,-0.07189188488407494,0.0,-0.2892799456175242,1.602392049556892,0.13534421408060346,-0.34782938182724055,-0.794672924179164,-0.292683604988772,-1.6497471022260453,-0.1344911757102175,-0.37228872506404853,0.3154769694922667
