root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,l_wrist,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow,r_wrist
0.603184,1.833531,0.376859,0.041434,0.034612,-0.701098,0.711018,-0.343704,0.05275,0.083277,0.280075,0.01387,0.0,-0.295235,-0.06893,-0.225366,0.266695,-0.0347,0.0,-0.283782,1.72559,0.029735,-0.103136,-0.327951,-0.321859,-1.733996,-0.027522,-0.058107,0.172985
0.603178,1.833531,0.376846,0.04165,0.03484,-0.701112,0.71098,-0.344631,0.05283,0.083297,0.280485,0.013776,0.0,-0.296086,-0.068886,-0.225312,0.26692,-0.034763,0.0,-0.283614,1.726039,0.030091,-0.103993,-0.328068,-0.322314,-1.735006,-0.028201,-0.059607,0.174294
0.603174,1.833544,0.376829,0.041884,0.035103,-0.701121,0.710945,-0.345681,0.052906,0.083311,0.280877,0.01374,0.0,-0.297131,-0.068855,-0.225309,0.267291,-0.034853,0.0,-0.283108,1.72602,0.030546,-0.105306,-0.327935,-0.322921,-1.735574,-0.028932,-0.061187,0.17581
0.603165,1.833574,0.376808,0.042147,0.035416,-0.70112,0.710915,-0.346898,0.053032,0.083295,0.281234,0.013842,0.0,-0.298352,-0.068762,-0.225355,0.26771,-0.034934,0.0,-0.282294,1.72529,0.03104,-0.107246,-0.327536,-0.322886,-1.735366,-0.02974,-0.062771,0.176611
0.603147,1.833607,0.376786,0.04244,0.035748,-0.701114,0.710887,-0.348151,0.053165,0.083303,0.281484,0.01404,0.0,-0.299643,-0.068604,-0.225364,0.268054,-0.034973,0.0,-0.281647,1.723826,0.0316,-0.10961,-0.327219,-0.322219,-1.734361,-0.030615,-0.064482,0.177257
0.603127,1.833631,0.376761,0.042747,0.036098,-0.701088,0.710876,-0.349418,0.053245,0.083203,0.281673,0.014281,0.0,-0.300863,-0.068371,-0.225377,0.26818,-0.034952,0.0,-0.281191,1.721419,0.032105,-0.111872,-0.32683,-0.321243,-1.732792,-0.031596,-0.06639,0.178132
0.603104,1.833656,0.376737,0.043069,0.036454,-0.701063,0.710864,-0.350764,0.053348,0.083135,0.281962,0.014484,0.0,-0.302059,-0.068101,-0.225367,0.268108,-0.034868,0.0,-0.27978,1.717161,0.032016,-0.113281,-0.326552,-0.320563,-1.730808,-0.032693,-0.068404,0.17956
0.603085,1.833685,0.376712,0.043381,0.0368,-0.701044,0.710846,-0.35211,0.053399,0.083091,0.282318,0.014652,0.0,-0.303253,-0.067872,-0.225346,0.268004,-0.034777,0.0,-0.277502,1.711963,0.031531,-0.115371,-0.328579,-0.319757,-1.728348,-0.03398,-0.070448,0.180317
0.603068,1.833707,0.376674,0.043639,0.037042,-0.700978,0.710882,-0.353141,0.053257,0.082951,0.282508,0.01488,0.0,-0.304197,-0.067761,-0.225431,0.268018,-0.034869,0.0,-0.278854,1.711549,0.033728,-0.123359,-0.334121,-0.318496,-1.725936,-0.035442,-0.073193,0.182566
0.603059,1.833603,0.376627,0.043631,0.036857,-0.700833,0.711035,-0.352697,0.052776,0.082633,0.282851,0.014436,0.0,-0.303674,-0.068038,-0.225741,0.268667,-0.036035,0.0,-0.289265,1.721183,0.044654,-0.141954,-0.329849,-0.322461,-1.724336,-0.039971,-0.082254,0.196345
0.603044,1.833499,0.376544,0.044066,0.036686,-0.700676,0.711172,-0.35244,0.051659,0.082564,0.282175,0.01454,0.0,-0.303911,-0.06901,-0.225878,0.269385,-0.037147,0.0,-0.313292,1.735841,0.068878,-0.169582,-0.286524,-0.347917,-1.722887,-0.056821,-0.112151,0.228045
0.602992,1.833328,0.376437,0.045125,0.036214,-0.700753,0.711053,-0.3517,0.049417,0.083609,0.280667,0.014552,0.0,-0.305065,-0.071159,-0.224949,0.270929,-0.038685,0.0,-0.34813,1.74109,0.106961,-0.204637,-0.19877,-0.403403,-1.715774,-0.101419,-0.182918,0.270499
0.602884,1.833246,0.376313,0.047422,0.03525,-0.7012,0.710512,-0.351259,0.045048,0.086535,0.277879,0.015136,0.0,-0.308878,-0.075733,-0.222131,0.273975,-0.040193,0.0,-0.384114,1.72496,0.156773,-0.255286,-0.11356,-0.480322,-1.68855,-0.183653,-0.306959,0.316535
0.602676,1.833353,0.376172,0.051976,0.033993,-0.701449,0.710009,-0.353566,0.037016,0.090315,0.273277,0.01743,0.0,-0.318191,-0.084474,-0.218275,0.280422,-0.042379,0.0,-0.409366,1.68164,0.221283,-0.334364,-0.095259,-0.561544,-1.624443,-0.291917,-0.475539,0.381102
0.602386,1.833703,0.376031,0.057399,0.032204,-0.700562,0.710549,-0.357303,0.026185,0.091778,0.267047,0.02209,0.0,-0.328353,-0.096059,-0.216592,0.287694,-0.04483,0.0,-0.416373,1.605621,0.30757,-0.448561,-0.161496,-0.640304,-1.529119,-0.371432,-0.647572,0.458708
0.60197,1.833966,0.375911,0.064207,0.029439,-0.698532,0.712084,-0.361053,0.011134,0.091416,0.258697,0.028132,0.0,-0.338862,-0.111794,-0.216622,0.296645,-0.049015,0.0,-0.403554,1.482741,0.417887,-0.587518,-0.271359,-0.721001,-1.431198,-0.391704,-0.784363,0.538758
0.601437,1.833976,0.375805,0.073052,0.025542,-0.696143,0.713719,-0.364039,-0.008685,0.091837,0.247744,0.03469,0.0,-0.351224,-0.13236,-0.21563,0.307844,-0.054876,0.0,-0.363717,1.314226,0.533503,-0.734098,-0.357459,-0.784911,-1.347821,-0.369257,-0.866328,0.579521
0.601185,1.83393,0.375762,0.080693,0.02437,-0.696742,0.712352,-0.368778,-0.020624,0.098586,0.24027,0.037553,0.0,-0.366008,-0.1449,-0.207992,0.313381,-0.055471,0.0,-0.315988,1.147021,0.603161,-0.860177,-0.386556,-0.777157,-1.240558,-0.373844,-0.907643,0.567079
0.601463,1.834051,0.375809,0.08479,0.02988,-0.700635,0.707834,-0.380673,-0.015465,0.109783,0.239562,0.036643,0.0,-0.385624,-0.140282,-0.195958,0.311955,-0.049146,0.0,-0.258949,0.997523,0.640963,-0.970635,-0.398388,-0.667426,-1.071358,-0.44826,-0.947893,0.529407
0.602524,1.834402,0.375941,0.076924,0.04201,-0.707189,0.701571,-0.393656,0.018406,0.118049,0.25741,0.026539,0.0,-0.392784,-0.107196,-0.187734,0.300216,-0.036544,0.0,-0.172665,0.874568,0.667853,-1.078386,-0.408954,-0.415995,-0.795901,-0.610744,-1.082595,0.511159
0.603709,1.834418,0.376014,0.059994,0.054433,-0.708186,0.701363,-0.404907,0.061066,0.104709,0.289174,0.012543,0.0,-0.372135,-0.063961,-0.201061,0.276348,-0.025265,0.0,-0.091664,0.793773,0.635975,-1.147362,-0.389952,-0.129929,-0.491456,-0.716549,-1.288958,0.509871
0.604017,1.834077,0.376022,0.055183,0.058854,-0.705089,0.704514,-0.412407,0.071288,0.091198,0.298893,0.010347,0.0,-0.361613,-0.052308,-0.214284,0.2652,-0.022416,0.0,-0.020265,0.698275,0.57518,-1.193191,-0.368019,-0.000621,-0.356383,-0.678081,-1.345363,0.538185
0.604069,1.833461,0.376059,0.053244,0.059027,-0.702704,0.707028,-0.410845,0.071722,0.083519,0.300101,0.009835,0.0,-0.352581,-0.050533,-0.222239,0.261416,-0.023581,0.0,0.048967,0.609667,0.508485,-1.223981,-0.373504,0.070782,-0.306733,-0.59754,-1.331826,0.587508
0.604071,1.832675,0.376114,0.05216,0.057999,-0.701694,0.708195,-0.404841,0.070396,0.080771,0.298298,0.008684,0.0,-0.345524,-0.050916,-0.225462,0.261429,-0.026226,0.0,0.105594,0.541009,0.437833,-1.23322,-0.390042,0.107469,-0.301118,-0.500467,-1.279417,0.617401
0.604116,1.831927,0.376151,0.051115,0.057394,-0.701596,0.708418,-0.399205,0.070511,0.080379,0.297458,0.006435,0.0,-0.340533,-0.05025,-0.226295,0.262319,-0.028449,0.0,0.14714,0.494383,0.362771,-1.222079,-0.394694,0.1256,-0.314698,-0.400069,-1.212168,0.605587
0.604196,1.831243,0.376183,0.049518,0.056876,-0.701728,0.708443,-0.393489,0.071792,0.080235,0.297974,0.003434,0.0,-0.335051,-0.048527,-0.226806,0.26302,-0.030375,0.0,0.176224,0.463669,0.283486,-1.197728,-0.399149,0.13449,-0.341175,-0.29617,-1.137259,0.553572
0.604276,1.830621,0.376218,0.04738,0.05597,-0.701579,0.708808,-0.387041,0.073101,0.079181,0.299106,0.000354,0.0,-0.328047,-0.046768,-0.228192,0.263814,-0.032644,0.0,0.193297,0.443578,0.201845,-1.1622,-0.426134,0.138671,-0.377188,-0.181814,-1.056586,0.477401
0.604316,1.830064,0.376257,0.044992,0.054391,-0.701211,0.709451,-0.379583,0.073711,0.077659,0.300414,-0.002621,0.0,-0.319839,-0.045741,-0.230074,0.265102,-0.035393,0.0,0.197822,0.431193,0.116139,-1.107453,-0.463454,0.140055,-0.414035,-0.054697,-0.975039,0.401934
0.604299,1.829432,0.376335,0.042134,0.051649,-0.701188,0.709854,-0.368778,0.073658,0.077273,0.30165,-0.00648,0.0,-0.309184,-0.045332,-0.230867,0.266705,-0.038828,0.0,0.187637,0.422037,0.017526,-1.018311,-0.472851,0.136198,-0.441567,0.081205,-0.892035,0.345025
